ID,CLASS
5001711,0
5001712,0
5001713,1
5001714,1
5001715,1
5001717,0
5001718,0
5001719,1
5001720,0
5001723,1
5001724,1
5001725,0
5001726,1
5001728,0
5001729,0
5001730,1
5001731,1
5001732,1
5001733,1
5001734,0
5001735,1
5001736,1
5001737,0
5001738,1
5001739,1
5001742,1
5001743,1
5001744,1
5001745,0
5001746,0
5001747,0
5001748,1
5001754,1
5001755,0
5001756,1
5001757,0
5001758,0
5001759,0
5001760,1
5001765,1
5001766,1
5001767,1
5001768,0
5001769,0
5001770,0
5001771,0
5001772,0
5001773,0
5001774,1
5001775,1
5001778,1
5001779,1
5001780,1
5001782,0
5001783,0
5001784,0
5001785,0
5001786,0
5001787,1
5001788,1
5001789,1
5001790,0
5001791,0
5001792,0
5001793,0
5001794,1
5001795,1
5001796,1
5001798,1
5001800,0
5001803,1
5001804,0
5001805,1
5001806,0
5001807,1
5001808,1
5001812,0
5001813,1
5001816,0
5001817,0
5001818,1
5001819,1
5001820,1
5001821,0
5001823,0
5001824,0
5001825,0
5001827,1
5001828,0
5001829,0
5001830,1
5001831,0
5001832,1
5001833,1
5001836,0
5001837,1
5001838,0
5001839,0
5001840,0
5001841,1
5001842,0
5001843,1
5001844,0
5001846,0
5001847,0
5001848,0
5001849,0
5001850,0
5001851,1
5001852,1
5001853,0
5001854,1
5001855,1
5001856,1
5001857,0
5001858,0
5001859,1
5001860,1
5001861,1
5001862,1
5001863,1
5001864,1
5001867,1
5001870,1
5001871,1
5001872,0
5001873,0
5001874,0
5001875,1
5001876,0
5001877,0
5001879,1
5001882,1
5001883,1
5001886,0
5001887,0
5001888,0
5001889,0
5001890,1
5001891,1
5001892,1
5001893,1
5001894,1
5001895,1
5001896,0
5001897,0
5001898,0
5001899,1
5001900,1
5001901,1
5001902,0
5001904,1
5001905,1
5001906,1
5001907,0
5001908,0
5001909,0
5001910,0
5001911,1
5001912,1
5001913,1
5001914,1
5001915,1
5001916,1
5001917,1
5001918,0
5001919,1
5001920,0
5001921,0
5001922,1
5001923,1
5001924,0
5001925,0
5001926,0
5001927,0
5001931,0
5001932,0
5001933,1
5001936,0
5001940,0
5001941,0
5001942,1
5001943,1
5001944,0
5001945,0
5001946,0
5001947,1
5001948,0
5001949,1
5001950,1
5001951,0
5001952,0
5001953,0
5001954,1
5001956,0
5001957,0
5001958,1
5001959,0
5001960,0
5001961,0
5001962,1
5001963,1
5001964,0
5001965,0
5001966,1
5001967,0
5001968,0
5001970,0
5001976,1
5001982,1
5001983,0
5001986,1
5001987,1
5001988,0
5001989,0
5001990,1
5001991,1
5001993,1
5001994,1
5001995,1
5001996,1
5001997,1
5001998,0
5001999,1
5002000,0
5002001,1
5002002,0
5002003,1
5002004,1
5002005,1
5002006,1
5002007,1
5002008,0
5002009,1
5002010,0
5002011,0
5002012,0
5002013,1
5002015,0
5002016,0
5002018,1
5002019,1
5002020,1
5002021,1
5002022,1
5002023,0
5002024,1
5002025,0
5002026,0
5002028,1
5002029,0
5002030,0
5002031,1
5002032,1
5002033,1
5002034,1
5002035,1
5002037,1
5002038,0
5002039,0
5002041,1
5002042,0
5002043,0
5002044,0
5002046,1
5002047,1
5002048,1
5002049,0
5002050,0
5002052,1
5002053,1
5002054,1
5002055,1
5002057,1
5002058,1
5002059,1
5002060,1
5002061,0
5002062,0
5002068,1
5002069,1
5002070,0
5002071,0
5002072,1
5002073,1
5002076,1
5002077,1
5002078,0
5002079,0
5002080,0
5002081,0
5002082,0
5002083,1
5002084,0
5002085,0
5002087,1
5002088,1
5002091,1
5002094,1
5002096,1
5002097,1
5002098,0
5002101,1
5002104,1
5002105,0
5002106,1
5002107,0
5002108,1
5002109,0
5002110,0
5002111,0
5002112,1
5002113,1
5002114,1
5002115,1
5002116,1
5002118,0
5002120,1
5002121,0
5002123,0
5002124,0
5002126,1
5002128,1
5002130,0
5002131,0
5002134,0
5002135,1
5002138,1
5002140,1
5002141,0
5002142,0
5002144,1
5002145,0
5002146,0
5002147,1
5002148,0
5002149,0
5002150,1
5002151,1
5002152,1
5002153,1
5002154,0
5002155,1
5002156,1
5002157,0
5002158,1
5002160,0
5002161,1
5002162,0
5002163,1
5002164,1
5002165,0
5002168,1
5002169,0
5002170,0
5002171,1
5002175,1
5002176,1
5002177,1
5002178,1
5002179,1
5002181,0
5002182,0
5002183,0
5002186,0
5002189,0
5002190,0
5002191,0
5002192,0
5002194,0
5002196,0
5002197,0
5002198,1
5002199,1
5002200,1
5002201,1
5002202,1
5002203,0
5002204,0
5002205,1
5002206,0
5002207,1
5002208,1
5002209,0
5002216,0
5002217,0
5002218,0
5002219,0
5002220,0
5002221,1
5002222,1
5002223,1
5002224,1
5002225,0
5002226,1
5002227,0
5002228,1
5002229,1
5002230,0
5002231,0
5002232,0
5002233,0
5002234,1
5002235,1
5002236,0
5002237,0
5002238,1
5002239,1
5002241,0
5002242,1
5002243,0
5002244,1
5002245,0
5002246,1
5002247,0
5002248,0
5002249,0
5002250,0
5002251,1
5002253,0
5002254,0
5002255,0
5002256,0
5002257,0
5002258,1
5002259,1
5002260,1
5002262,0
5002263,0
5002264,1
5002265,0
5002266,0
5002267,1
5002268,0
5002270,1
5002271,1
5002273,1
5002274,0
5002275,0
5002276,0
5002277,0
5002278,0
5002279,0
5002280,1
5002283,0
5002285,0
5002286,1
5002287,1
5002289,0
5002291,0
5002292,0
5002293,0
5002294,0
5002296,1
5002297,1
5002298,1
5002299,0
5002300,1
5002301,0
5002302,0
5002303,0
5002304,1
5002305,1
5002306,1
5002309,1
5002310,0
5002311,0
5002312,0
5002313,0
5002314,0
5002315,1
5002316,1
5002317,1
5002318,1
5002319,1
5002320,1
5002321,1
5002322,0
5002323,0
5002324,0
5002325,0
5002326,1
5002330,0
5002331,0
5002332,0
5002333,1
5002335,1
5002336,1
5002337,1
5002338,1
5002339,1
5002340,1
5002341,1
5002342,0
5002343,0
5002344,0
5002345,0
5002346,0
5002347,1
5002348,1
5002349,1
5002350,0
5002351,0
5002352,1
5002353,1
5002354,0
5002355,0
5002356,0
5002360,0
5002363,1
5002364,1
5002365,0
5002368,1
5002369,0
5002370,0
5002373,1
5002374,1
5002375,0
5002376,1
5002377,1
5002378,1
5002380,0
5002381,0
5002383,1
5002384,1
5002385,1
5002386,1
5002387,1
5002388,1
5002390,1
5002391,1
5002392,0
5002394,1
5002395,1
5002396,0
5002397,1
5002398,0
5002399,0
5002402,1
5002403,0
5002404,0
5002405,0
5002408,1
5002409,0
5002410,0
5002411,0
5002412,0
5002413,0
5002418,0
5002420,0
5002421,0
5002422,0
5002424,0
5002425,1
5002426,1
5002427,1
5002428,1
5002429,0
5002430,0
5002431,0
5002432,1
5002433,1
5002434,1
5002435,1
5002436,0
5002437,0
5002438,0
5002439,0
5002441,0
5002443,0
5002444,0
5002445,0
5002446,0
5002447,0
5002448,1
5002449,1
5002450,1
5002453,0
5002454,0
5002455,1
5002456,0
5002457,0
5002458,0
5002459,0
5002460,1
5002462,1
5002465,1
5002467,0
5002469,1
5002471,1
5002472,1
5002474,1
5002475,0
5002476,0
5002477,1
5002479,0
5002480,0
5002481,0
5002482,1
5002483,1
5002484,1
5002485,1
5002486,1
5002487,0
5002488,1
5002489,0
5002490,1
5002491,0
5002492,1
5002495,1
5002496,1
5002497,1
5002501,0
5002502,0
5002505,0
5002507,0
5002508,0
5002509,0
5002510,0
5002511,0
5002512,0
5002514,1
5002515,1
5002518,1
5002519,1
5002520,0
5002521,0
5002523,1
5002524,1
5002525,1
5002526,1
5002527,0
5002528,0
5002529,1
5002533,0
5002534,0
5002537,0
5002538,0
5002539,0
5002540,0
5002541,0
5002543,0
5002544,0
5002545,0
5002547,1
5002548,0
5002549,1
5002550,1
5002551,0
5002554,1
5002555,0
5002556,0
5002557,0
5002558,0
5002559,0
5002560,1
5002562,1
5002563,1
5002564,1
5002565,1
5002566,1
5002567,1
5002568,0
5002570,1
5002571,1
5002572,0
5002573,0
5002574,0
5002575,0
5002576,0
5002578,1
5002579,1
5002581,0
5002582,0
5002583,1
5002584,1
5002585,1
5002586,1
5002587,1
5002588,1
5002589,0
5002590,0
5002591,1
5002592,1
5002593,1
5002594,1
5002595,1
5002597,0
5002598,0
5002599,0
5002601,1
5002602,0
5002603,0
5002604,1
5002605,0
5002606,0
5002607,0
5002608,0
5002609,1
5002611,0
5002612,0
5002615,1
5002616,0
5002617,0
5002618,1
5002619,1
5002620,1
5002621,0
5002622,0
5002623,0
5002624,0
5002626,0
5002628,0
5002629,0
5002630,1
5002631,1
5002633,0
5002636,0
5002637,0
5002638,0
5002639,0
5002642,0
5002644,0
5002645,0
5002646,0
5002647,0
5002649,0
5002650,0
5002651,0
5002652,1
5002653,1
5002654,0
5002655,1
5002660,1
5002661,0
5002662,0
5002665,1
5002666,1
5002667,0
5002668,1
5002669,0
5002670,0
5002671,0
5002672,1
5002673,1
5002674,0
5002675,0
5002677,0
5002679,1
5002680,0
5002683,1
5002684,1
5002685,1
5002686,0
5002687,1
5002688,0
5002689,0
5002690,0
5002691,0
5002694,1
5002695,0
5002696,0
5002697,0
5002698,1
5002699,1
5002700,0
5002701,1
5002702,1
5002703,1
5002704,1
5002705,1
5002706,1
5002708,0
5002709,0
5002710,0
5002711,0
5002713,0
5002715,0
5002716,0
5002717,0
5002718,0
5002719,0
5002720,0
5002722,1
5002723,0
5002725,1
5002727,1
5002728,0
5002729,1
5002730,0
5002731,0
5002732,0
5002733,0
5002734,0
5002735,1
5002736,1
5002737,1
5002738,0
5002739,0
5002740,0
5002741,0
5002742,1
5002743,1
5002744,1
5002745,1
5002747,0
5002749,1
5002750,1
5002752,1
5002753,1
5002754,1
5002755,0
5002756,0
5002757,0
5002758,1
5002759,0
5002760,1
5002762,0
5002763,0
5002765,0
5002766,1
5002767,1
5002768,1
5002769,0
5002770,0
5002776,1
5002779,1
5002780,1
5002781,0
5002782,1
5002783,1
5002784,0
5002787,1
5002788,1
5002789,0
5002790,0
5002791,0
5002792,0
5002793,1
5002795,1
5002796,0
5002798,0
5002799,1
5002800,1
5002804,0
5002805,1
5002806,1
5002807,0
5002808,0
5002809,0
5002810,0
5002811,0
5002812,0
5002813,0
5002814,1
5002815,1
5002817,1
5002818,1
5002819,0
5002820,0
5002821,1
5002822,1
5002825,1
5002827,0
5002828,1
5002829,0
5002830,0
5002831,1
5002832,0
5002833,0
5002837,0
5002840,0
5002841,0
5002843,0
5002844,0
5002845,0
5002846,0
5002847,0
5002848,1
5002849,0
5002850,0
5002851,1
5002852,0
5002853,0
5002854,0
5002855,1
5002856,0
5002857,0
5002860,1
5002862,1
5002863,0
5002864,1
5002865,1
5002866,0
5002867,0
5002869,0
5002870,0
5002871,0
5002872,0
5002873,1
5002874,1
5002878,0
5002879,1
5002882,0
5002883,0
5002884,0
5002886,1
5002887,1
5002888,0
5002889,1
5002890,0
5002892,1
5002893,1
5002894,1
5002895,1
5002896,1
5002897,0
5002898,0
5002899,0
5002900,1
5002901,1
5002902,1
5002903,0
5002904,0
5002905,0
5002906,0
5002909,1
5002910,0
5002911,1
5002912,1
5002913,1
5002914,1
5002915,1
5002916,1
5002917,0
5002918,0
5002919,0
5002920,1
5002921,0
5002922,1
5002923,0
5002929,1
5002930,1
5002931,1
5002933,1
5002934,0
5002935,0
5002936,0
5002937,0
5002938,1
5002939,1
5002940,1
5002943,0
5002944,0
5002945,0
5002946,0
5002947,1
5002948,1
5002949,0
5002950,0
5002953,0
5002955,1
5002956,1
5002958,0
5002961,0
5002962,0
5002963,1
5002964,1
5002966,1
5002967,0
5002968,0
5002969,0
5002970,0
5002971,0
5002972,0
5002973,1
5002974,1
5002975,1
5002976,1
5002977,1
5002978,1
5002979,1
5002981,1
5002982,1
5002983,1
5002985,0
5002986,0
5002987,1
5002988,1
5002989,1
5002990,1
5002991,0
5002992,1
5002993,0
5002994,1
5002995,0
5002996,0
5002999,1
5003000,0
5003001,0
5003002,0
5003003,0
5003006,0
5003007,0
5003008,1
5003011,1
5003012,1
5003013,1
5003014,1
5003015,0
5003016,0
5003017,0
5003018,0
5003019,0
5003020,1
5003021,1
5003023,1
5003024,0
5003025,1
5003026,1
5003027,1
5003028,1
5003029,1
5003030,1
5003031,1
5003033,1
5003034,1
5003035,1
5003036,0
5003037,1
5003038,0
5003039,1
5003040,0
5003041,1
5003042,1
5003043,1
5003046,0
5003049,1
5003050,1
5003051,0
5003052,0
5003053,1
5003054,0
5003056,0
5003057,0
5003058,0
5003059,1
5003061,0
5003065,0
5003066,1
5003067,0
5003068,1
5003069,1
5003070,0
5003073,0
5003074,1
5003075,1
5003076,0
5003079,0
5003082,0
5003083,0
5003084,1
5003086,0
5003088,0
5003089,0
5003090,1
5003091,1
5003092,1
